가락IC	fnSelectNode('N104I020','가락IC','2');
가산IC	fnSelectNode('N055I070','가산IC','2');
가조IC	fnSelectNode('N012I110','가조IC','2');
가좌IC	fnSelectNode('N120I020','가좌IC','2');
감곡IC	fnSelectNode('N045I240','감곡IC','2');
강릉IC	fnSelectNode('N065I040','강릉IC','2');
강진무위사IC	fnSelectNode('N10AI020','강진무위사IC','2');
강촌IC	fnSelectNode('N060I050','강촌IC','2');
거창IC	fnSelectNode('N012I100','거창IC','2');
건천IC	fnSelectNode('N001I090','건천IC','2');
경산IC	fnSelectNode('N001I110','경산IC','2');
경주IC	fnSelectNode('N001I080','경주IC','2');
계룡IC	fnSelectNode('N251I020','계룡IC','2');
계양IC	fnSelectNode('N100I050','계양IC','2');
고덕IC	fnSelectNode('N030I020','고덕IC','2');
고등IC	fnSelectNode('N171I090','고등IC','2');
고령IC	fnSelectNode('N012I130','고령IC','2');
고성IC	fnSelectNode('N351I030','고성IC','2');
고양IC	fnSelectNode('N100I370','고양IC','2');
고창IC	fnSelectNode('N015I080','고창IC','2');
고흥IC	fnSelectNode('N10AI060','고흥IC','2');
곡성IC	fnSelectNode('N025I050','곡성IC','2');
곤양IC	fnSelectNode('N010I070','곤양IC','2');
곤지암IC	fnSelectNode('N352I110','곤지암IC','2');
공주IC	fnSelectNode('N030I090','공주IC','2');
공항입구IC	fnSelectNode('N130I020','공항입구IC','2');
광교상현IC	fnSelectNode('N171I020','광교상현IC','2');
광명IC	fnSelectNode('N110I080','광명IC','2');
광명역IC	fnSelectNode('N015I360','광명역IC','2');
광산IC	fnSelectNode('N025I150','광산IC','2');
광양IC	fnSelectNode('N010I010','광양IC','2');
광재IC	fnSelectNode('N600I030','광재IC','2');
광주(경안)IC	fnSelectNode('N352I120','광주(경안)IC','2');
광주TG	fnSelectNode('N025T160','광주TG','2');
광천IC	fnSelectNode('N015I200','광천IC','2');
괴산IC	fnSelectNode('N045I200','괴산IC','2');
구례화엄사IC	fnSelectNode('N027I030','구례화엄사IC','2');
구리TG	fnSelectNode('N100T270','구리TG','2');
구리남양주IC	fnSelectNode('N100I290','구리남양주IC','2');
구미IC	fnSelectNode('N001I180','구미IC','2');
구서IC	fnSelectNode('N001I010','구서IC','2');
구포종점	fnSelectNode('N010I280','구포종점','2');
군북IC	fnSelectNode('N010I150','군북IC','2');
군산IC	fnSelectNode('N015I140','군산IC','2');
군위IC	fnSelectNode('N055I080','군위IC','2');
군자TG	fnSelectNode('N050T030','군자TG','2');
군포IC	fnSelectNode('N050I070','군포IC','2');
금강IC	fnSelectNode('N001I245','금강IC','2');
금곡IC	fnSelectNode('N017I080','금곡IC','2');
금곡TG	fnSelectNode('N017T090','금곡TG','2');
금산IC	fnSelectNode('N351I160','금산IC','2');
금산IC	fnSelectNode('N130I025','금산IC','2');
금산사IC	fnSelectNode('N025I230','금산사IC','2');
금왕꽃동네IC	fnSelectNode('N040I090','금왕꽃동네IC','2');
금정IC	fnSelectNode('N600I050','금정IC','2');
금천IC	fnSelectNode('N015I370','금천IC','2');
금토TG	fnSelectNode('N171I070','금토TG','2');
기장철마IC	fnSelectNode('N600I060','기장철마IC','2');
기흥IC	fnSelectNode('N001I430','기흥IC','2');
기흥동탄IC	fnSelectNode('N001I420','기흥동탄IC','2');
김제IC	fnSelectNode('N025I240','김제IC','2');
김천IC	fnSelectNode('N001I210','김천IC','2');
김포IC	fnSelectNode('N100I020','김포IC','2');
김포TG	fnSelectNode('N100T030','김포TG','2');
김포공항IC	fnSelectNode('N130I050','김포공항IC','2');
김해가야Hi	fnSelectNode('N600I040','김해가야Hi','2');
김해공항IC	fnSelectNode('N055I010','김해공항IC','2');
김해부산TG	fnSelectNode('N55AT010','김해부산TG','2');
나주IC	fnSelectNode('N12AI050','나주IC','2');
낙동TG	fnSelectNode('N301T000','낙동TG','2');
남강릉IC	fnSelectNode('N065I030','남강릉IC','2');
남경주IC	fnSelectNode('N652I020','남경주IC','2');
남고창IC	fnSelectNode('N253I005','남고창IC','2');
남공주IC	fnSelectNode('N025I340','남공주IC','2');
남광명TG	fnSelectNode('N017T140','남광명TG','2');
남구미IC	fnSelectNode('N001I170','남구미IC','2');
남군포IC	fnSelectNode('N017I110','남군포IC','2');
남김천IC	fnSelectNode('N045I110','남김천IC','2');
남논산TG	fnSelectNode('N025T300','남논산TG','2');
남대구IC	fnSelectNode('N451I050','남대구IC','2');
남대전IC	fnSelectNode('N351I180','남대전IC','2');
남동IC	fnSelectNode('N110I040','남동IC','2');
남문대교	fnSelectNode('N105I040','남문대교','2');
남밀양IC	fnSelectNode('N55AI040','남밀양IC','2');
남삼척IC	fnSelectNode('N065I980','남삼척IC','2');
남상주IC	fnSelectNode('N30AI060','남상주IC','2');
남성주IC	fnSelectNode('N045I090','남성주IC','2');
남세종IC	fnSelectNode('N030I110','남세종IC','2');
남순천TG	fnSelectNode('N10AT065','남순천TG','2');
남안동IC	fnSelectNode('N055I100','남안동IC','2');
남안산IC	fnSelectNode('N153I030','남안산IC','2');
남안성IC	fnSelectNode('N040I060','남안성IC','2');
남양산IC	fnSelectNode('N551I020','남양산IC','2');
남양양IC	fnSelectNode('N065I070','남양양IC','2');
남양주IC	fnSelectNode('N100I280','남양주IC','2');
남양주TG	fnSelectNode('N060T010','남양주TG','2');
남양평하이패스IC	fnSelectNode('N045I275','남양평하이패스IC','2');
남여주IC	fnSelectNode('N045I255','남여주IC','2');
남원IC	fnSelectNode('N012I050','남원IC','2');
남원주IC	fnSelectNode('N055I200','남원주IC','2');
남이천IC	fnSelectNode('N352I080','남이천IC','2');
남인천TG	fnSelectNode('N110T060','남인천TG','2');
남제천IC	fnSelectNode('N055I170','남제천IC','2');
남지IC	fnSelectNode('N045I040','남지IC','2');
남진례IC	fnSelectNode('N105I010','남진례IC','2');
남천안IC	fnSelectNode('N025I370','남천안IC','2');
남청주IC	fnSelectNode('N001I300','남청주IC','2');
남춘천IC	fnSelectNode('N060I060','남춘천IC','2');
남포항IC	fnSelectNode('N652I040','남포항IC','2');
남포항TG	fnSelectNode('N652T035','남포항TG','2');
남풍세IC	fnSelectNode('N025I363','남풍세IC','2');
내장산IC	fnSelectNode('N025I200','내장산IC','2');
내촌IC	fnSelectNode('N060I090','내촌IC','2');
노포IC	fnSelectNode('N001I030','노포IC','2');
논산IC	fnSelectNode('N251I010','논산IC','2');
다부IC	fnSelectNode('N055I060','다부IC','2');
